date,year,month,period,region,customer_segment,product_category,product_id,units_sold,list_price,net_price,discount_pct,cost_per_unit,gross_margin_pct,revenue,gross_profit,marketing_campaign_flag,marketing_spend,competitor_price_index,category_market_index,inflation_index,season_index,order_frequency,_true_elasticity
2023-01-01,2023,1,1,North,Homeowners,Residential Filters,RES-001,2,34.88,34.27,0.0177,22.01,0.3578,68.54,24.52,0,0.0,1.0184,1.0559,0.9983,0.82,6.23,-1.6731
2023-02-01,2023,2,2,North,Homeowners,Residential Filters,RES-001,3,32.66,30.14,0.0773,22.01,0.2697,90.41,24.39,1,3585.32,1.0203,1.0426,1.0055,0.8441,5.39,-1.6731
2023-03-01,2023,3,3,North,Homeowners,Residential Filters,RES-001,3,34.95,31.1,0.11,22.01,0.2925,93.31,27.29,0,0.0,1.0026,1.0314,0.9982,0.91,4.637,-1.6731
2023-04-01,2023,4,4,North,Homeowners,Residential Filters,RES-001,2,36.93,33.78,0.0855,22.01,0.3485,67.55,23.54,0,0.0,1.0181,1.0293,1.0059,1.0,3.463,-1.6731
2023-05-01,2023,5,5,North,Homeowners,Residential Filters,RES-001,4,33.3,32.24,0.0321,22.01,0.3173,128.94,40.92,0,0.0,1.0167,1.0621,1.0066,1.09,4.08,-1.6731
2023-06-01,2023,6,6,North,Homeowners,Residential Filters,RES-001,4,33.41,30.85,0.0768,22.01,0.2866,123.4,35.37,0,0.0,0.9823,1.0427,1.0116,1.1559,3.465,-1.6731
2023-07-01,2023,7,7,North,Homeowners,Residential Filters,RES-001,4,34.41,31.39,0.0879,22.01,0.2989,125.55,37.53,0,0.0,1.0872,1.0266,1.0074,1.18,5.464,-1.6731
2023-08-01,2023,8,8,North,Homeowners,Residential Filters,RES-001,4,37.86,32.59,0.1394,22.01,0.3247,130.34,42.32,1,4347.51,1.0074,1.0157,1.01,1.1559,3.548,-1.6731
2023-09-01,2023,9,9,North,Homeowners,Residential Filters,RES-001,5,35.16,31.28,0.1104,22.01,0.2965,156.39,46.36,0,0.0,1.0551,1.042,1.0267,1.09,5.697,-1.6731
2023-10-01,2023,10,10,North,Homeowners,Residential Filters,RES-001,4,30.76,29.36,0.0454,22.01,0.2506,117.46,29.43,0,0.0,1.0345,1.0094,1.018,1.0,5.388,-1.6731
2023-11-01,2023,11,11,North,Homeowners,Residential Filters,RES-001,4,33.21,30.6,0.0787,22.01,0.2809,122.41,34.38,1,13960.86,1.0453,1.0531,1.0215,0.91,4.601,-1.6731
2023-12-01,2023,12,12,North,Homeowners,Residential Filters,RES-001,3,33.38,32.12,0.0376,22.01,0.315,96.37,30.35,0,0.0,1.0208,1.0304,1.0184,0.8441,5.662,-1.6731
2024-01-01,2024,1,13,North,Homeowners,Residential Filters,RES-001,2,36.32,33.46,0.0787,22.01,0.3424,66.93,22.91,0,0.0,1.0289,0.9849,1.0186,0.82,7.095,-1.6731
2024-02-01,2024,2,14,North,Homeowners,Residential Filters,RES-001,3,36.13,32.82,0.0914,22.01,0.3296,98.47,32.45,0,0.0,1.0451,0.9968,1.0326,0.8441,7.043,-1.6731
2024-03-01,2024,3,15,North,Homeowners,Residential Filters,RES-001,5,33.43,30.35,0.0923,22.01,0.2749,151.74,41.71,1,4674.61,1.085,0.997,1.0273,0.91,3.872,-1.6731
2024-04-01,2024,4,16,North,Homeowners,Residential Filters,RES-001,3,38.1,36.23,0.0492,22.01,0.3926,108.69,42.67,0,0.0,1.0221,1.0029,1.0383,1.0,5.973,-1.6731
2024-05-01,2024,5,17,North,Homeowners,Residential Filters,RES-001,2,36.3,36.19,0.003,22.01,0.392,72.39,28.38,0,0.0,0.9936,0.9851,1.0379,1.09,5.237,-1.6731
2024-06-01,2024,6,18,North,Homeowners,Residential Filters,RES-001,3,35.6,33.26,0.0656,22.01,0.3384,99.79,33.77,0,0.0,1.0524,0.9844,1.0319,1.1559,5.491,-1.6731
2024-07-01,2024,7,19,North,Homeowners,Residential Filters,RES-001,5,33.76,30.66,0.0921,22.01,0.2821,153.28,43.25,1,9683.03,1.0797,1.0209,1.0332,1.18,3.444,-1.6731
2024-08-01,2024,8,20,North,Homeowners,Residential Filters,RES-001,3,37.24,34.95,0.0614,22.01,0.3704,104.86,38.85,1,16617.34,0.9762,0.9365,1.0388,1.1559,4.565,-1.6731
2024-09-01,2024,9,21,North,Homeowners,Residential Filters,RES-001,4,36.19,34.38,0.0499,22.01,0.3599,137.52,49.5,0,0.0,1.0515,0.95,1.0362,1.09,8.686,-1.6731
2024-10-01,2024,10,22,North,Homeowners,Residential Filters,RES-001,3,35.5,34.15,0.0381,22.01,0.3555,102.44,36.42,1,16536.82,0.95,0.9675,1.0476,1.0,4.749,-1.6731
