scope,group,elasticity,std_error,p_value,ci_low,ci_high,n_obs,r_squared,is_elastic,is_significant
overall,ALL,-1.0073366751677784,0.009487736311400317,0.0,-1.0259322966329358,-0.9887410537026209,26987,0.7959569464030183,True,True
customer_segment,Distributors,-1.1690031182709313,0.017952555283672338,0.0,-1.2041894800573933,-1.1338167564844692,5400,0.6455336792643145,True,True
customer_segment,Homeowners,-1.4484872420632158,0.01773675858447115,0.0,-1.4832506500912608,-1.4137238340351708,5400,0.6351036161636322,True,True
customer_segment,Industrial Accounts,-0.455314480495003,0.04169843389722477,9.329090445185521e-28,-0.5370419091452877,-0.3735870518447183,5387,0.5181426909113259,False,True
customer_segment,Municipal,-0.8549601908856541,0.02477115991584544,4.888740775155313e-261,-0.9035107721759934,-0.8064096095953148,5400,0.5654530645464693,False,True
customer_segment,Small Business,-1.1376768125588217,0.02219524378983327,0.0,-1.1811786910149813,-1.094174934102662,5400,0.5711460439655375,True,True
region,Midwest,-0.9011417922284273,0.01857584285238442,0.0,-0.9375497752015766,-0.864733809255278,5395,0.7886061606923355,False,True
region,North,-0.7336300776307721,0.02172710667398707,6.2983928775039e-250,-0.7762144242000466,-0.6910457310614977,5399,0.7851593296226438,False,True
region,Northeast,-0.8487133516586242,0.019951095069486346,0.0,-0.887816779446952,-0.8096099238702963,5393,0.7887822481845681,False,True
region,South,-1.131814455910312,0.022297256888529127,0.0,-1.1755162763658669,-1.0881126354547572,5400,0.8149342625676381,True,True
region,West,-1.444997407245668,0.02008165212789925,0.0,-1.4843567221664127,-1.4056380923249232,5400,0.8123647239745961,True,True
product_category,Commercial Systems,-1.074496290727793,0.04535436917375493,4.450636986232553e-124,-1.1633892208498864,-0.9856033606056998,5400,0.8034535943178875,True,True
product_category,Industrial Treatment,-0.620354422195255,0.04322537678125599,1.0406901427634219e-46,-0.7050746039046907,-0.5356342404858194,5400,0.7971722187353559,False,True
product_category,Replacement Parts,-0.8918758503353865,0.03957036796266617,1.7222933124487546e-112,-0.9694323463972098,-0.8143193542735633,5400,0.8293195049869906,False,True
product_category,Residential Filters,-1.6068289234154158,0.043904780194405496,3.072885445935959e-293,-1.6928807113455981,-1.5207771354852335,5400,0.8288706851068629,True,True
product_category,Service Contracts,-0.8401718493062776,0.04436429390020431,5.544409179812222e-80,-0.9271242675502281,-0.7532194310623271,5387,0.76873831463768,False,True
