product_category,customer_segment,region,elasticity_used,elasticity_source,p_value,current_price,recommended_price,recommended_price_change_pct,expected_demand_change_pct,current_margin_pct,baseline_revenue,baseline_gross_profit,expected_revenue_impact,expected_gross_profit_impact,recommendation_type
Industrial Treatment,Distributors,North,-0.9169,segment_region,0.0,199.1,219.01,10.0,-8.37,42.42,116475.5,49410.13,925.78,6537.77,Increase price: low elasticity / pricing power
Industrial Treatment,Distributors,South,-1.2717,segment_region,0.0,199.2,219.12,10.0,-11.41,42.45,138245.31,58684.0,-3534.26,5547.36,Hold price: no clear improvement
Industrial Treatment,Small Business,North,-0.7132,segment_region,0.0,198.48,218.32,10.0,-6.57,42.24,81971.26,34624.26,2271.26,5382.71,Increase price: low elasticity / pricing power
Industrial Treatment,Distributors,Northeast,-1.0054,segment_region,0.0,197.55,217.31,10.0,-9.14,41.97,101542.13,42616.31,-52.01,5332.08,Hold price: no clear improvement
Industrial Treatment,Homeowners,North,-1.1713,segment_region,0.0,196.56,216.21,10.0,-10.56,41.67,114592.21,47756.12,-1856.12,5203.8,Hold price: no clear improvement
Industrial Treatment,Distributors,Midwest,-1.0429,segment_region,0.0,198.56,218.42,10.0,-9.46,42.26,101465.27,42883.38,-414.24,5128.58,Hold price: no clear improvement
Commercial Systems,Distributors,North,-0.9169,segment_region,0.0,116.34,127.98,10.0,-8.37,38.65,74577.09,28822.51,592.76,4421.47,Increase price: low elasticity / pricing power
Industrial Treatment,Homeowners,Northeast,-1.2671,segment_region,0.0,196.19,215.81,10.0,-11.38,41.57,99075.23,41181.18,-2490.59,4095.34,Hold price: no clear improvement
Commercial Systems,Distributors,South,-1.2717,segment_region,0.0,114.94,126.44,10.0,-11.41,37.9,89884.38,34065.22,-2297.91,4073.64,Hold price: no clear improvement
Industrial Treatment,Homeowners,Midwest,-1.3334,segment_region,0.0,195.12,214.63,10.0,-11.93,41.25,101854.26,42011.31,-3185.26,3956.09,Hold price: no clear improvement
Commercial Systems,Distributors,Midwest,-1.0429,segment_region,0.0,116.26,127.88,10.0,-9.46,38.6,73124.72,28226.7,-298.54,3949.56,Hold price: no clear improvement
Industrial Treatment,Industrial Accounts,North,-0.219,segment_region,0.0,200.57,220.63,10.0,-2.07,42.84,44326.27,18990.46,3425.42,3948.67,Increase price: low elasticity / pricing power
Industrial Treatment,Industrial Accounts,Northeast,-0.2413,segment_region,0.0027,204.24,224.67,10.0,-2.27,43.87,44525.27,19533.39,3338.88,3907.03,Increase price: low elasticity / pricing power
Industrial Treatment,Small Business,South,-1.2159,segment_region,0.0,201.73,221.91,10.0,-10.94,43.17,93200.67,40236.22,-1897.8,3897.39,Hold price: no clear improvement
Commercial Systems,Distributors,Northeast,-1.0054,segment_region,0.0,114.9,126.39,10.0,-9.14,37.88,68249.36,25849.64,-34.96,3839.13,Hold price: no clear improvement
Industrial Treatment,Industrial Accounts,Midwest,-0.2816,segment_region,0.0004,202.29,222.51,10.0,-2.65,43.33,43895.91,19018.66,3110.72,3769.5,Increase price: low elasticity / pricing power
Industrial Treatment,Small Business,Northeast,-1.0742,segment_region,0.0,198.28,218.11,10.0,-9.73,42.18,75742.34,31949.22,-533.49,3727.94,Hold price: no clear improvement
Industrial Treatment,Municipal,Midwest,-0.5641,segment_region,0.0,200.36,220.39,10.0,-5.23,42.78,51492.02,22029.11,2184.23,3726.39,Increase price: low elasticity / pricing power
Industrial Treatment,Distributors,West,-1.5828,segment_region,0.0,199.1,219.01,10.0,-14.0,42.42,134590.94,57093.18,-7272.06,3579.51,Hold price: no clear improvement
Commercial Systems,Small Business,North,-0.7132,segment_region,0.0,117.34,129.08,10.0,-6.57,39.17,52334.96,20499.48,1450.1,3542.19,Increase price: low elasticity / pricing power
Industrial Treatment,Municipal,North,-0.7185,segment_region,0.0,199.97,219.97,10.0,-6.62,42.67,53791.88,22953.27,1462.5,3503.66,Increase price: low elasticity / pricing power
Commercial Systems,Homeowners,North,-1.1713,segment_region,0.0,115.06,126.57,10.0,-10.56,37.96,69496.41,26382.89,-1125.67,3428.42,Hold price: no clear improvement
Industrial Treatment,Small Business,Midwest,-1.2124,segment_region,0.0,200.23,220.25,10.0,-10.91,42.74,80290.67,34319.36,-1608.91,3407.57,Hold price: no clear improvement
Industrial Treatment,Homeowners,South,-1.5775,segment_region,0.0,195.79,215.37,10.0,-13.96,41.45,119234.93,49418.15,-6384.9,3360.56,Hold price: no clear improvement
Industrial Treatment,Industrial Accounts,West,-0.727,segment_region,0.0,201.8,221.98,10.0,-6.69,43.19,51459.39,22225.76,1356.69,3313.51,Increase price: low elasticity / pricing power
Industrial Treatment,Municipal,South,-0.9381,segment_region,0.0,200.98,221.08,10.0,-8.55,42.96,59290.32,25471.02,350.85,3243.26,Increase price: low elasticity / pricing power
Industrial Treatment,Industrial Accounts,South,-0.7628,segment_region,0.0,202.66,222.93,10.0,-7.01,43.43,50260.06,21828.93,1149.22,3142.76,Increase price: low elasticity / pricing power
Commercial Systems,Homeowners,Northeast,-1.2671,segment_region,0.0,114.22,125.64,10.0,-11.38,37.5,67843.79,25444.07,-1705.48,3117.84,Hold price: no clear improvement
Commercial Systems,Homeowners,Midwest,-1.3334,segment_region,0.0,114.7,126.17,10.0,-11.93,37.77,68592.4,25907.16,-2145.07,2948.77,Hold price: no clear improvement
Industrial Treatment,Municipal,Northeast,-0.7777,segment_region,0.0,202.58,222.83,10.0,-7.14,43.41,47605.3,20664.51,1019.16,2943.88,Increase price: low elasticity / pricing power
Commercial Systems,Small Business,South,-1.2159,segment_region,0.0,117.17,128.89,10.0,-10.94,39.08,63272.15,24726.95,-1288.38,2929.1,Hold price: no clear improvement
Commercial Systems,Homeowners,South,-1.5775,segment_region,0.0,114.65,126.11,10.0,-13.96,37.74,83232.74,31410.86,-4457.02,2776.59,Hold price: no clear improvement
Service Contracts,Distributors,North,-0.9169,segment_region,0.0,120.91,133.0,10.0,-8.37,57.83,64202.47,37126.78,510.3,2775.97,Increase price: low elasticity / pricing power
Commercial Systems,Distributors,West,-1.5828,segment_region,0.0,115.69,127.25,10.0,-14.0,38.3,85491.52,32741.7,-4619.18,2767.08,Hold price: no clear improvement
