product_category,customer_segment,region,recommendation_type,elasticity_used,current_price,recommended_price,recommended_price_change_pct,expected_demand_change_pct,expected_revenue_impact,expected_gross_profit_impact
Industrial Treatment,Distributors,North,Increase price: low elasticity / pricing power,-0.9169,199.1,219.01,10.0,-8.37,925.78,6537.77
Industrial Treatment,Distributors,South,Hold price: no clear improvement,-1.2717,199.2,219.12,10.0,-11.41,-3534.26,5547.36
Industrial Treatment,Small Business,North,Increase price: low elasticity / pricing power,-0.7132,198.48,218.32,10.0,-6.57,2271.26,5382.71
Industrial Treatment,Distributors,Northeast,Hold price: no clear improvement,-1.0054,197.55,217.31,10.0,-9.14,-52.01,5332.08
Industrial Treatment,Homeowners,North,Hold price: no clear improvement,-1.1713,196.56,216.21,10.0,-10.56,-1856.12,5203.8
Industrial Treatment,Distributors,Midwest,Hold price: no clear improvement,-1.0429,198.56,218.42,10.0,-9.46,-414.24,5128.58
Commercial Systems,Distributors,North,Increase price: low elasticity / pricing power,-0.9169,116.34,127.98,10.0,-8.37,592.76,4421.47
Industrial Treatment,Homeowners,Northeast,Hold price: no clear improvement,-1.2671,196.19,215.81,10.0,-11.38,-2490.59,4095.34
Commercial Systems,Distributors,South,Hold price: no clear improvement,-1.2717,114.94,126.44,10.0,-11.41,-2297.91,4073.64
Industrial Treatment,Homeowners,Midwest,Hold price: no clear improvement,-1.3334,195.12,214.63,10.0,-11.93,-3185.26,3956.09
Commercial Systems,Distributors,Midwest,Hold price: no clear improvement,-1.0429,116.26,127.88,10.0,-9.46,-298.54,3949.56
Industrial Treatment,Industrial Accounts,North,Increase price: low elasticity / pricing power,-0.219,200.57,220.63,10.0,-2.07,3425.42,3948.67
Industrial Treatment,Industrial Accounts,Northeast,Increase price: low elasticity / pricing power,-0.2413,204.24,224.67,10.0,-2.27,3338.88,3907.03
Industrial Treatment,Small Business,South,Hold price: no clear improvement,-1.2159,201.73,221.91,10.0,-10.94,-1897.8,3897.39
Commercial Systems,Distributors,Northeast,Hold price: no clear improvement,-1.0054,114.9,126.39,10.0,-9.14,-34.96,3839.13
Industrial Treatment,Industrial Accounts,Midwest,Increase price: low elasticity / pricing power,-0.2816,202.29,222.51,10.0,-2.65,3110.72,3769.5
Industrial Treatment,Small Business,Northeast,Hold price: no clear improvement,-1.0742,198.28,218.11,10.0,-9.73,-533.49,3727.94
Industrial Treatment,Municipal,Midwest,Increase price: low elasticity / pricing power,-0.5641,200.36,220.39,10.0,-5.23,2184.23,3726.39
Industrial Treatment,Distributors,West,Hold price: no clear improvement,-1.5828,199.1,219.01,10.0,-14.0,-7272.06,3579.51
Commercial Systems,Small Business,North,Increase price: low elasticity / pricing power,-0.7132,117.34,129.08,10.0,-6.57,1450.1,3542.19
Industrial Treatment,Municipal,North,Increase price: low elasticity / pricing power,-0.7185,199.97,219.97,10.0,-6.62,1462.5,3503.66
Commercial Systems,Homeowners,North,Hold price: no clear improvement,-1.1713,115.06,126.57,10.0,-10.56,-1125.67,3428.42
